author,comment,likes,date,clean_comment,sentiment
@13deekg,Hi<br>What will be the real range if 5 passengers traveling with full time ac on at 80 kmph on highways.Will this scenario drastically decrease the range from around 300km.Can anybody please let me know the real life experiences.Thank you Faisal and all,0,2023-04-03T12:10:51Z,hiwhat real range 5 passengers traveling full time ac 80 kmph highwayswill scenario drastically decrease range around 300kmcan anybody please let know real life experiencesthank faisal,Positive
@nishantak911,Tundey Kababi :D best lucknowi food ever,0,2023-04-03T04:25:24Z,tundey kababi best lucknowi food ever,Positive
@mak_1802,"<a href=""https://www.youtube.com/watch?v=qpf6D_GNbu0&amp;t=134"">2:14</a> “middle passenger gets a head”<br>Me “hum phast ham phast”",0,2023-04-02T20:50:57Z,hum phast ham phast,Neutral
@ram62836,Xuv400 is scary.,0,2023-04-02T16:24:59Z,xuv400 scary,Negative
@aryunfiltered,NexHoeN<br>Vs<br>Xuv4doubleHoe,1,2023-04-02T15:32:27Z,nexhoenvsxuv4doublehoe,Neutral
@enthusiast9998,Nexon looks xuv’s poop lol,0,2023-04-02T15:21:01Z,nexon looks xuvs poop lol,Positive
@draadi01,Proud owner of Tata Nexon EV max,1,2023-04-02T08:44:55Z,proud owner tata nexon ev max,Positive
@Misbahahsan,Bhai aap log EV BATTERY REPLACEMENT KE BAARE ME KABHI BAAT NAHI KRTE. KI KINNA MEHNGA PADEGA 8-9 LAKH FOR BATTERY REPLACEMENT,0,2023-04-02T07:40:24Z,bhai aap log ev battery replacement ke baare kabhi baat nahi krte ki kinna mehnga padega 89 lakh battery replacement,Neutral
@Misbahahsan,Bhai aap log EV BATTERY REPLACEMENT KE BAARE ME KABHI BAAT NAHI KRTE. KI KINNA MEHNGA PADEGA 8-9 LAKH FOR BATTERY REPLACEMENT,0,2023-04-02T07:40:10Z,bhai aap log ev battery replacement ke baare kabhi baat nahi krte ki kinna mehnga padega 89 lakh battery replacement,Neutral
@AlexAugustinex,Hard to justify XUV400. Nexon EV still the goto Car betweeen the two.,0,2023-04-02T05:42:15Z,hard justify xuv400 nexon ev still goto car betweeen two,Negative
@abhijeetjain4654,"I&#39;m going for mahindra, cuz there center passenger  gets a head also, that to adjustable yr...",0,2023-04-02T02:19:28Z,i39m going mahindra cuz center passenger gets head also adjustable yr,Neutral
@Mr_Pandita,Middle passenger gets a head. 🗿,0,2023-04-01T01:38:09Z,middle passenger gets head,Neutral
@jonjones18,Nexon forever ❤️,1,2023-03-30T18:14:00Z,nexon forever,Neutral
@ididnotgetabetterid,Mahindra be like hold my Battista 🥵🥵🥵🔥🔥🔥,1,2023-03-30T18:06:44Z,mahindra like hold battista,Positive
@tanajimalusaray,"Thank God, Although I was baised towards XUV400, I had purchased EV Max due to urgent requirements. I felt at that time I will regret when XUV 400 comes out, but time is proving otherwise. I GOT LUCKY with my decision in bying EV MAX",5,2023-03-30T09:50:42Z,thank god although baised towards xuv400 purchased ev max due urgent requirements felt time regret xuv 400 comes time proving otherwise got lucky decision bying ev max,Positive
@saurovbora8913,Xuv400 looks sexier  than nexon,0,2023-03-30T09:01:03Z,xuv400 looks sexier nexon,Neutral
@Reddylion,New Nexon adas ev anyday. Upcoming.,1,2023-03-30T07:15:54Z,new nexon adas ev anyday upcoming,Neutral
@bobomelons,XUV400 looks like a trail product ..,0,2023-03-30T06:02:20Z,xuv400 looks like trail product,Positive
@VarunMKmkvarun,Thank you for the review.,0,2023-03-30T03:58:28Z,thank review,Positive
@Yatish2312,Loved the video and detailing of the features. Btw There are Chargezone centers on the way to Nasik.😊,0,2023-03-30T03:35:59Z,loved video detailing features btw chargezone centers way nasik,Positive
@sixstarsuchiang9441,Nexon❤️❤️❤️,0,2023-03-30T01:28:18Z,nexon,Neutral
@agamslounge3365,macan for life,0,2023-03-29T20:35:18Z,macan life,Neutral
@Imran_nazeer,Mahindra giving 100 reasons why to buy nexon,0,2023-03-29T18:39:37Z,mahindra giving 100 reasons buy nexon,Positive
@atulbhogle,I have been getting 320+ range on Nexon EV Max through the cooler months. Summer should be different,0,2023-03-29T18:26:42Z,getting 320 range nexon ev max cooler months summer different,Neutral
@amalalits7123,KAYNES power🔥,0,2023-03-29T18:18:45Z,kaynes power,Neutral
@Prince_of_all_Saiyans,Nexon&#39;s tail light &amp; infotainment display are the only things that makes it look dumb..!!,0,2023-03-29T17:42:49Z,nexon39s tail light amp infotainment display things makes look dumb,Negative
@habindas9863,Good job mahindra.. you worked really hard to prove how good an ev the nexon was ✌️,6,2023-03-29T13:37:46Z,good job mahindra worked really hard prove good ev nexon,Positive
@ADARSH-oc6bg,❤,0,2023-03-29T11:45:55Z,,Neutral
@yup2ube,How many times “THIS” is used?,0,2023-03-29T05:06:37Z,many times used,Neutral
@Thetradeschool_official,Xuv400 = Rocket,0,2023-03-29T03:23:11Z,xuv400 rocket,Neutral
@dikshitkanani6298,I like How you are copying Car wow Channel I love IT,0,2023-03-28T19:50:13Z,like copying car wow channel love,Positive
@abhisheksenani3753,That was a really helpful comparison video. Thank you Faisal Bhai,0,2023-03-28T17:33:09Z,really helpful comparison video thank faisal bhai,Positive
@info3207,"Tata, Nexon is best 💙🔥",2,2023-03-28T16:53:45Z,tata nexon best,Positive
@jasneetsingh6621,The shittiest part of nexon ev max is there is not even a single cupholder in the front part of the car 😂😂 and trust me that wireless charger is the most useless one,2,2023-03-28T16:38:24Z,shittiest part nexon ev max even single cupholder front part car trust wireless charger useless one,Negative
@themusicplayerrjs4055,SIR WHEN YOU WERE STANDING BOTH CARA WERE LOOKING LIKE TOY,0,2023-03-28T12:07:52Z,sir standing cara looking like toy,Positive
@tusharm.m4985,10rupai ki Pepsi Nexon car sexy,0,2023-03-28T11:06:13Z,10rupai ki pepsi nexon car sexy,Positive
@viresh3294,Sir you say Tata is doing a lot by tata charging infra but they should start from there home. What I mean to say is that they should make it mandatory to every outlet and showroom of there to have a charger that will definitely make a huge change in the infra for ev,2,2023-03-28T11:00:12Z,sir say tata lot tata charging infra start home mean say make mandatory every outlet showroom charger definitely make huge change infra ev,Positive
@adarshsaraswat8982,Gaadi ka headliner bahar nikla hua hai.. right rear xuv me… 😒,0,2023-03-28T10:36:54Z,gaadi ka headliner bahar nikla hua hai right rear xuv,Neutral
@belowlinesolutions3180,"Definitely TATA Nexon is the Better car. Mahindra can learn a thing or 2 from Tata, or else Mahindra EV will face the same fate as Mahindra 2wheelers....",0,2023-03-28T10:18:43Z,definitely tata nexon better car mahindra learn thing 2 tata else mahindra ev face fate mahindra 2wheelers,Positive
